case_id,dice_wt,dice_tc,dice_et,inference_time_sec,peak_gpu_memory_mb
BraTS2021_00019,0.8969517103591415,0.9410793178909121,0.9178813681627941,2.918482600012794,4368.22412109375
BraTS2021_00032,0.9655767376558351,0.9672512675588064,0.934362539617626,1.8930107000051066,4470.39697265625
BraTS2021_00077,0.9182508414932681,0.9754498826393115,0.9605151942040652,1.886614999966696,4470.39697265625
BraTS2021_00084,0.8970599386481922,0.9212235133287765,0.8946260862787888,1.889895400032401,4470.39697265625
BraTS2021_00095,0.9650560721423027,0.9793096857429558,0.9201771133769346,1.8887025999720208,4470.39697265625
BraTS2021_00099,0.897924697681787,0.9527318335031747,0.8850927280449248,1.883187600004021,4470.39697265625
BraTS2021_00124,0.915465559759217,0.9536588293236101,0.4743235410756231,1.8987215000088327,4470.39697265625
BraTS2021_00131,0.9427354826634224,0.917903303015797,0.8952937113434429,1.892791300022509,4470.39697265625
BraTS2021_00134,0.9043469022345408,0.7559708815173668,0.8161378965775669,1.9037331999861635,4470.39697265625
BraTS2021_00156,0.9625257622546166,0.9950502669291402,0.9855658910903303,1.895056699984707,4470.39697265625
BraTS2021_00184,0.9712790400816952,0.966487987351047,0.9445617480972256,1.8900230000144802,4470.39697265625
BraTS2021_00191,0.9537464618232959,0.9748920518151287,0.963090269252803,1.8929768000380136,4470.39697265625
BraTS2021_00201,0.9671945813213797,0.967045154832994,0.9271002337412347,1.8994260000181384,4470.39697265625
BraTS2021_00207,0.9450739476678043,0.9012614906249021,0.8437981086430614,1.8926562000415288,4470.39697265625
BraTS2021_00230,0.9525161273823453,0.9599314174959931,0.8741008071398961,1.8975851000286639,4470.39697265625
BraTS2021_00233,0.9757764747087867,0.971065782982648,0.9688268011900142,1.892592899966985,4470.39697265625
BraTS2021_00251,0.981615820331909,0.9594161623353507,0.9063923089897116,1.8939895000075921,4470.39697265625
BraTS2021_00263,0.9863015253958252,0.983387492539293,0.9577784569707025,1.887906199961435,4470.39697265625
BraTS2021_00269,0.945519073716409,0.9776938586104266,0.9608661065947498,1.8946637000190094,4470.39697265625
BraTS2021_00271,0.9683928324004885,0.9600645870742334,0.9488535021612328,1.8891771999769844,4470.39697265625
