case_id,dice_wt,dice_tc,dice_et,inference_time_sec
BraTS2021_00019,0.9099318740412055,0.9377761261819233,0.9151614142966948,2.2220133000000715
BraTS2021_00032,0.9668653646173692,0.9648858791070981,0.935717196414018,1.8679369999999835
BraTS2021_00077,0.9256407470452598,0.9756979944946913,0.9597821250893206,1.866908599999988
BraTS2021_00084,0.9141090873164295,0.9220214479998614,0.8932531989143079,1.868636499999866
BraTS2021_00095,0.9632670682318114,0.97761972047142,0.913721554693645,1.8717526999998881
BraTS2021_00099,0.9010901548405769,0.9568938193343899,0.8868156847887858,1.8699486000000434
BraTS2021_00124,0.8946676927119503,0.9538869002048459,0.47237414618731616,1.876332100000127
BraTS2021_00131,0.9521574600756837,0.9163469224620304,0.8964842517200026,1.8732339000002867
BraTS2021_00134,0.9106758372257473,0.895556323553486,0.8107747477274623,1.87529319999976
BraTS2021_00156,0.9620756434207195,0.9954962631156121,0.9848316410978533,1.873954799999865
BraTS2021_00184,0.9710291113381001,0.9690984144130241,0.9459181171855847,1.8714899999999943
BraTS2021_00191,0.9566632481554284,0.9757109571989403,0.9661348892243665,1.8689478000001145
BraTS2021_00201,0.9693560169102166,0.9616517586925819,0.9277032040472175,1.8689358999999968
BraTS2021_00207,0.9466018566867709,0.8978185286606566,0.8335891600063515,1.8703190999999606
BraTS2021_00230,0.9527445262942501,0.9601239157372986,0.8738813229571984,1.8696282999999312
BraTS2021_00233,0.9740174118840335,0.9749355821035371,0.9734232040800636,1.8722599000002447
BraTS2021_00251,0.9783528485683362,0.967479674796748,0.9211451531893521,1.8686537000003227
BraTS2021_00263,0.9853872879623953,0.9843859008006378,0.9567666710336696,1.869463800000176
BraTS2021_00269,0.9511058510244841,0.9764726865889449,0.9630169071190977,1.8691717000001518
BraTS2021_00271,0.9686088818930148,0.9484979772186038,0.9469431119410193,1.870264899999711
BraTS2021_00283,0.9617053714117592,0.9763486664335442,0.9452742766419338,1.879237699999976
BraTS2021_00292,0.8427859851700912,0.868263050081232,0.6489398679179701,1.8652276999996502
BraTS2021_00296,0.9333058811418151,0.9656150648080215,0.9514574314574314,1.8665547000000515
BraTS2021_00314,0.8085898190517782,0.9765499298209579,0.9711033625906778,1.86462900000015
BraTS2021_00320,0.8463226311482215,0.9276930644367929,0.8070592901050961,1.8660206999998081
BraTS2021_00328,0.9351655430068279,0.9310964649490713,0.8283374832407585,1.8654946999999993
BraTS2021_00359,0.9657506396341731,0.9786973870511005,0.966396679831314,1.8637609000002158
BraTS2021_00401,0.9234641006661732,0.9746880525063916,0.911792692210099,1.8658172999998897
BraTS2021_00403,0.9384213029006182,0.9824874910650465,0.9728075057644907,1.8670623000002706
BraTS2021_00412,0.9710305555024746,0.0,0.0,1.865108500000133
BraTS2021_00444,0.863289620296563,0.8524341830338488,0.8724347397800033,1.8643134000003556
BraTS2021_00451,0.9828110836666543,0.9681606002462843,0.9540720578755103,1.890125700000226
BraTS2021_00464,0.9501860429797251,0.9473013851297564,0.9129281513089609,1.8879901000000245
BraTS2021_00466,0.9738387071023737,0.9239642681297039,0.902748639903282,1.872753499999817
BraTS2021_00478,0.9589630370009552,0.9615937859608745,0.9402479244853861,1.8636948999997003
BraTS2021_00479,0.9517710764419816,0.9856062519105275,0.951788990825688,1.8635631000001922
BraTS2021_00504,0.9624389024029827,0.8594025954081241,0.8609798557572743,1.865967499999897
BraTS2021_00561,0.9429467251760112,0.9780959450448523,0.9624783392863457,1.8699658999998974
BraTS2021_00579,0.972150564982015,0.9820896731973175,0.9682764663436759,1.8628825999999208
